ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10323309,balen,2491,As new,1049000,Installed,455 m² square meters,FALSE,6565 m² square meters,4,FALSE,3,TRUE,4700 m² square meters,TRUE,0,Mansion
10326396,gent,9000,Good,1750000,USA installed,325 m² square meters,FALSE,117 m² square meters,2,FALSE,9,FALSE,0,TRUE,0,House
9846450,chaudfontaine,4051,To be done up,99000,Falset installed,99 m² square meters,TRUE,236 m² square meters,4,FALSE,1,TRUE,160 m² square meters,TRUE,28 m² square meters,House
10078035,huy,4500,Good,129000,Falset installed,115 m² square meters,FALSE,59 m² square meters,2,FALSE,2,FALSE,0,FALSE,0,Apartment
9893706,braine-le-chateau,1440,To be done up,145000,Semi equipped,64 m² square meters,FALSE,43 m² square meters,3,FALSE,2,FALSE,0,TRUE,9 m² square meters,House
10298008,liege,4020,As new,159000,Installed,64 m² square meters,FALSE,72 m² square meters,2,FALSE,1,TRUE,38 m² square meters,TRUE,24 m² square meters,House
10276444,clermont-sous-huy,4480,As new,159000,Installed,90 m² square meters,FALSE,82 m² square meters,2,FALSE,2,FALSE,0,FALSE,0,House
10277075,antwerp,2060,To be done up,310000,Semi equipped,218 m² square meters,FALSE,88 m² square meters,2,FALSE,0,FALSE,0,TRUE,15 m² square meters,Apartment
10330639,mol,2400,Good,650000,Installed,350 m² square meters,FALSE,2375 m² square meters,4,TRUE,4,TRUE,1800 m² square meters,TRUE,85 m² square meters,Mansion
10330628,betekom,3130,To reFalsevate,299000,Semi equipped,200 m² square meters,FALSE,1660 m² square meters,4,FALSE,3,TRUE,0,FALSE,0,House
10330625,soignies-casteau,7061,As new,299000,USA semi equipped,177 m² square meters,FALSE,280 m² square meters,2,FALSE,3,TRUE,180 m² square meters,TRUE,15 m² square meters,House
10330623,bruxelles,1120,Good,675000,Installed,265 m² square meters,FALSE,444 m² square meters,2,FALSE,7,TRUE,250 m² square meters,TRUE,20 m² square meters,House
10173768,ixelles,1050,NaN,650000,Installed,140 m² square meters,FALSE,0,0,FALSE,3,FALSE,0,TRUE,25 m² square meters,House
10330617,mons,7000,To be done up,249000,USA hyper equipped,117 m² square meters,FALSE,0,2,FALSE,2,FALSE,0,TRUE,15 m² square meters,House
10330610,lembeek,1502,NaN,595000,FALSE,340 m² square meters,FALSE,1216 m² square meters,4,FALSE,4,FALSE,0,FALSE,0,House
10149128,namur,5000,Good,159000,Installed,106 m² square meters,FALSE,40 m² square meters,2,FALSE,3,FALSE,0,FALSE,0,House
10185643,liege,4000,To be done up,179000,USA hyper equipped,164 m² square meters,FALSE,82 m² square meters,2,FALSE,4,TRUE,30 m² square meters,TRUE,60 m² square meters,House
10033859,la-roche-en-ardenne,6980,To be done up,185000,Installed,226 m² square meters,FALSE,100 m² square meters,3,FALSE,4,FALSE,0,FALSE,0,House
10299250,flemalle,4400,Good,189000,Installed,111 m² square meters,FALSE,173 m² square meters,2,FALSE,3,TRUE,57 m² square meters,TRUE,5 m² square meters,House
10219158,huy,4500,Just reFalsevated,189000,Installed,150 m² square meters,FALSE,280 m² square meters,2,FALSE,3,TRUE,175 m² square meters,FALSE,0,House
10302452,ampsin,4540,Good,189000,Hyper equipped,125 m² square meters,FALSE,515 m² square meters,2,FALSE,3,TRUE,360 m² square meters,TRUE,20 m² square meters,House
10178455,vise,4602,To be done up,194000,Falset installed,111 m² square meters,FALSE,400 m² square meters,4,FALSE,3,TRUE,357 m² square meters,TRUE,21 m² square meters,Mansion
10296557,liege,4020,Just reFalsevated,199000,Installed,141 m² square meters,FALSE,368 m² square meters,3,FALSE,4,TRUE,78 m² square meters,TRUE,52 m² square meters,House
9737379,liege,4020,Good,199000,USA semi equipped,191 m² square meters,FALSE,305 m² square meters,3,FALSE,2,TRUE,100 m² square meters,TRUE,56 m² square meters,House
10250883,oupeye,4682,Good,199000,Installed,100 m² square meters,FALSE,260 m² square meters,2,FALSE,2,TRUE,100 m² square meters,TRUE,40 m² square meters,House
10299422,oudenaarde,9700,To reFalsevate,214000,Installed,135 m² square meters,FALSE,740 m² square meters,3,FALSE,3,TRUE,660 m² square meters,FALSE,0,House
10209507,liege,4000,Good,219000,Installed,133 m² square meters,FALSE,238 m² square meters,2,FALSE,4,TRUE,137 m² square meters,TRUE,57 m² square meters,House
10101773,herstal,4040,Just reFalsevated,220000,USA hyper equipped,90 m² square meters,FALSE,143 m² square meters,2,FALSE,2,FALSE,0,TRUE,22 m² square meters,House
10237880,braives,4260,To be done up,225000,Falset installed,140 m² square meters,FALSE,1281 m² square meters,4,FALSE,3,TRUE,900 m² square meters,TRUE,0,House
10247181,bornem,2880,To reFalsevate,234000,Semi equipped,123 m² square meters,FALSE,190 m² square meters,3,FALSE,3,TRUE,0,TRUE,30 m² square meters,House
10257540,herstal,4040,To be done up,239000,Semi equipped,231 m² square meters,FALSE,251 m² square meters,3,FALSE,4,TRUE,140 m² square meters,TRUE,54 m² square meters,Apartment
10239197,geetbets,3450,To be done up,246000,Semi equipped,169 m² square meters,FALSE,1165 m² square meters,3,FALSE,3,TRUE,770 m² square meters,TRUE,50 m² square meters,House
8018096,leuze-en-hainaut,7900,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10272775,landen-neerlanden,3404,Good,249000,Hyper equipped,240 m² square meters,FALSE,505 m² square meters,4,FALSE,4,TRUE,125 m² square meters,TRUE,16 m² square meters,House
9943915,liege,4020,To be done up,249000,Falset installed,235 m² square meters,FALSE,155 m² square meters,2,FALSE,4,FALSE,0,TRUE,40 m² square meters,House
10285002,herstal,4040,Good,249000,Installed,186 m² square meters,FALSE,630 m² square meters,3,TRUE,3,TRUE,127 m² square meters,TRUE,80 m² square meters,House
10117547,saint-nicolas-tilleur,4420,Good,249000,Installed,172 m² square meters,TRUE,404 m² square meters,3,FALSE,4,TRUE,765 m² square meters,TRUE,57 m² square meters,House
10101243,saint-nicolas,4420,To be done up,249000,Installed,160 m² square meters,FALSE,140 m² square meters,2,FALSE,5,TRUE,30 m² square meters,FALSE,0,House
10302566,oupeye,4680,Just reFalsevated,249000,Falset installed,201 m² square meters,FALSE,106 m² square meters,3,FALSE,5,FALSE,0,TRUE,40 m² square meters,House
